X,Y,fid,code,num_noeud,groupe,numero,statut,type_res,mode,x,y,z,no_civique,nom_rue,mslink,mapid,edl,guid,mslink_p,mapid_p,edl_p,guid_p,bfn,bfa,marque,modele,annee,psistat,psidyn,gpm,angle,icon_url
-71.742946352539,46.6737320279614,1,283,N-0035,,VD-289,Actif,Eau potable,Borne d'incendie,209702.3,5171209.91,45.1643,,"Notre-Dame, Rue",0,0,,,0,0,N-0035,,VD-289,ND-1,DAIGLE,D-67,1987,73,45,1130,27,./0.png
-71.7313738366556,46.6814968010895,2,27,N-0486,,VD-10,Actif,Eau potable,Borne d'incendie,210601.1983,5172059.0714,58.6734,,"Jacques-Cartier, Avenue",0,0,BF-0122,,0,0,N-0486,,VD-10,JC-7,CONCORD,D-67-M PREMIER,1998,0,0,0,93,./0.png
-71.6926219813655,46.6742732192322,3,237,N-0244,,VD-266,Actif,Eau potable,Borne d'incendie,213553.4835,5171210.5284,58.4231,,"Notre-Dame, Rue",0,0,BF-059,,0,0,N-0244,,VD-266,ND-26,CONCORD,D-67-M PREMIER,1974,59,18,600,342,./0.png
-71.7076505714038,46.6737899705013,4,244,N-0253,,VD-245,Actif,Eau potable,Borne d'incendie,212402.8469,5171174.3361,38.2238,,"Notre-Dame, Rue",0,0,BF-065,,0,0,N-0253,,VD-245,ND-18,CONCORD,D-67-M PREMIER,2007,66,36,1050,349,./0.png
-71.7393137966423,46.6712039567854,5,66,N-0968,,VD-285,Actif,Eau potable,Borne d'incendie,209975.8015,5170924.5302,35.888,,"Saint-Laurent, Boulevard",0,0,BF-0158,,0,0,N-0968,,VD-285,LA-3,CANADA VALVE,,1995,86,58,1280,19,./0.png
-71.7268298295289,46.6703359956931,6,135,N-0119,,VD-190,Actif,Eau potable,Borne d'incendie,210929.48,5170813.1,21.7978,,"Sainte-Anne, Avenue",0,0,BF-022,,0,0,N-0119,,VD-190,SA4_B,CONCORD,D-67-M PREMIER,2019,0,0,0,59,./0.png
-71.7273827865184,46.6761511646732,7,67,N-0980,,VD-84,Actif,Eau potable,Borne d'incendie,210897.2449,5171460.1265,43.4258,,"Gaudreau, Boulevard",0,0,BF-0159,,0,0,N-0980,,VD-84,GA-3,CONCORD,D-67,1998,77,42,1090,233,./0.png
-71.7402521935006,46.6761676280773,8,193,N-0191,,VD-46,Actif,Eau potable,Borne d'incendie,209912.6912,5171477.382,50,,"Côté, Avenue",0,0,BF-0273,,0,0,N-0191,,VD-46,CO-1,CONCORD,D-67-M PREMIER,2013,70,52,1210,238,./0.png
-71.7035759071161,46.6704791174567,9,260,N-0272,,VD-255,Actif,Eau potable,Borne d'incendie,212708.9714,5170801.5559,23.0727,,"Manoir, Avenue du",0,0,BF-08,,0,0,N-0272,,VD-255,MN-3,CANADA VALVE,,0,88,11,550,239,./0.png
-71.7277063521973,46.671037872602,10,124,N-0106,,VD-189,Actif,Eau potable,Borne d'incendie,210863.63,5170892.16,23.737,,"Sainte-Anne, Avenue",0,0,BF-021,,0,0,N-0106,,VD-189,SA3_B,CONCORD,D-67-M PREMIER,2021,0,0,0,60,./0.png
