X,Y,fid,code,groupe,numero,statut,type_res,type_vanne,type_acces,x,y,z,msaisie,proprio,n_propri,num_const,no_civique,nom_rue,conduite,mslink,mapid,edl,guid,mslink_p,mapid_p,edl_p,guid_p,fid_2,code_2,numero_2,statut_2,noeud_i,noeud_j,type_res_2,mode,type,msaisie_2,proprio_2,n_propri_2,longueur,diametre,materiau,annee,annrevet,matrevet,chwi,chwt,debit,vitesse,nom_rue_2,mslink_2,mapid_2,edl_2,guid_2,angle,angle-ent,n,distance,feature_x,feature_y,nearest_x,nearest_y,anglef,icon_url
-71.7313738366556,46.6814968010895,1,426,ISO,VD-10,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,210601.1983,5172059.0714,58.6734,,,,,,,C-0731,,,V-430,,,,C-0876,,1,2699,C-0731,Actif,N-0486,N-0759,Eau potable,Vanne,Borne d'incendie,,,,1.0313,150,,0,0,,100,0,,,,,,C-0876,,95.4594904024665,95,1,0,210601.1983,5172059.0714,210601.1983,5172059.0714,185,./0.png
-71.7273976537869,46.6761400418193,2,403,ISO,VD-84,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,210896.0882,5171458.9079,43.3882,,,,,,,C-0551,,,V-407,,,,C-0599,,4,2437,C-0551,Actif,N-0980,N-0649,Eau potable,Vanne,Borne d'incendie,,,,2.7234,150,,0,0,,100,0,,,,,,C-0599,,223.510333934897,223,1,9.0309539047e-05,210896.0882,5171458.9079,210896.088134503,5171458.90796218,313,./0.png
-71.7429401034119,46.6737231270418,3,407,,V-319,Actif,Eau potable,Vanne d'arrêt,Boîte de vanne,209702.7625,5171208.9131,45.1117,,,,,,,C-0592,,,V-411,,,,C-0671,,5,2507,C-0592,Actif,N-0686,N-0691,Eau potable,Vanne,Distribution - locale,,,,2.9664,200,Fonte ductile,1975,0,,71,67,,,,,,C-0671,,103.397559244868,103,1,4.2341908559e-05,209702.7625,5171208.9131,209702.762490189,5171208.91305881,193,./0.png
-71.7429276443123,46.6737212264376,4,408,,V-333,Actif,Eau potable,Vanne d'arrêt,Boîte de vanne,209703.7124,5171208.6868,45.1727,,,,,,,C-0592,,,V-412,,,,C-0671,,5,2507,C-0592,Actif,N-0686,N-0691,Eau potable,Vanne,Distribution - locale,,,,2.9664,200,Fonte ductile,1975,0,,71,67,,,,,,C-0671,,103.397559244868,103,1,0,209703.7124,5171208.6868,209703.7124,5171208.6868,193,./0.png
-71.7429482298471,46.6737283405137,5,805,ISO,VD-289,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,209702.1499,5171209.5024,45.1135,,,,,,,C-0086,,,,,,,,,7,3765,C-0086,Actif,N-0686,N-0035,Eau potable,Vanne,Borne d'incendie,,,,0.8747,150,,0,0,,100,0,,,,,,,,20.2079399281073,20,1,6.4193335713e-05,209702.1499,5171209.5024,209702.149960242,5171209.50237783,110,./0.png
-71.7402618146639,46.6761616147569,6,736,ISO,VD-46,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,209911.9446,5171476.7252,50,,,,,,,C-1143,,,V-765,,,,C-1487,,8,3282,C-1143,Actif,N-0191,N-1026,Eau potable,Vanne,Borne d'incendie,,,,2.7192,150,,0,0,,100,0,,,,,,C-1487,,228.663273237072,228,1,3.4921599591e-05,209911.9446,5171476.7252,209911.944576935,5171476.72522622,318,./0.png
-71.7306075007888,46.6831765393092,7,25,,V-138,Actif,Eau potable,Vanne d'arrêt,Boîte de vanne,210662.7395,5172244.8614,65.3865,,,,,,,C-0279,,,V-025,,,,C-1696,,10,3470,C-0279,Actif,N-0011,N-0846,Eau potable,Vanne,Distribution - locale,,,,2.2023,150,Fonte ductile,1968,0,,60,60,,,,,,C-1696,,102.813772734034,102,1,0,210662.7395,5172244.8614,210662.7395,5172244.8614,192,./0.png
-71.7389632859736,46.6752110067192,8,738,ISO,VD-48,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,210009.627,5171369.4995,50,,,,,,,C-0032,,,V-767,,,,C-1511,,11,3305,C-0032,Actif,N-0194,N-1025,Eau potable,Vanne,Borne d'incendie,,,,3.1609,150,,0,0,,100,0,,,,,,C-1511,,227.225692248755,227,1,6.5715816624e-05,210009.627,5171369.4995,210009.627044628,5171369.49945176,317,./0.png
-71.7363404798723,46.6848184130703,9,689,ISO,VD-2,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,210227.0565,5172434.2288,57.6838,,,,,,,C-1040,,,V-707,,,,C-1341,,12,3143,C-1040,Actif,N-0151,N-0973,Eau potable,Vanne,Borne d'incendie,,,,2.7509,150,,0,0,,100,0,,,,,,C-1341,,206.354445275603,206,1,4.4803167501e-05,210227.0565,5172434.2288,210227.056540146,5172434.22878011,296,./0.png
-71.7234359071884,46.6828254163727,10,531,ISO,VD-165,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,211210.7296,5172197.2848,68.5415,,,,,,,C-0664,,,V-536,,,,C-0768,,13,2599,C-0664,Actif,N-1044,N-0967,Eau potable,Vanne,Borne d'incendie,,,,3.8127,150,,0,0,,100,0,,,,,,C-0768,,229.734559671571,229,1,7.4207315252e-05,211210.7296,5172197.2848,211210.729552037,5172197.28485662,319,./0.png
-71.7395816632494,46.675658237921,11,737,ISO,VD-47,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,209963.0993,5171419.9546,50,,,,,,,C-0031,,,V-766,,,,C-1510,,14,3304,C-0031,Actif,N-0193,N-1024,Eau potable,Vanne,Borne d'incendie,,,,3.9843,150,,0,0,,100,0,,,,,,C-1510,,227.227935309727,227,1,3.9585384736e-05,209963.0993,5171419.9546,209963.099273118,5171419.95462906,317,./0.png
-71.7290407873628,46.68011717348,12,634,ISO,PR-5,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,210777.2787,5171902.9347,56.3971,,,,,,,C-0932,,,V-641,,,,C-1179,,16,2988,C-0932,Actif,N-1041,N-0901,Eau potable,Vanne,Borne d'incendie,,,,3.9072,150,,0,0,,100,0,,,,,,C-1179,,218.734315909527,218,1,2.1419794593e-05,210777.2787,5171902.9347,210777.278683291,5171902.9347134,308,./0.png
-71.7238569484334,46.672807430559,13,718,ISO,VD-215,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,211161.2156,5171084.2658,26.3329,,,,,,,C-1081,,,V-736,,,,C-1405,,18,3206,C-1081,Actif,N-0162,N-0998,Eau potable,Vanne,Borne d'incendie,,,,4.2591,150,,0,0,,100,0,,,,,,C-1405,,48.7057369329218,48,1,7.234092928e-05,211161.2156,5171084.2658,211161.21564774,5171084.26574565,138,./0.png
-71.7425093437399,46.6749973285964,14,473,ISO,VD-54,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,209737.9541,5171350.023,49.5308,,,,,,,C-0883,,,V-478,,,,C-1118,,19,2936,C-0883,Actif,N-0137,N-0873,Eau potable,Vanne,Borne d'incendie,,,,4.4832,150,,0,0,,100,0,,,,,,C-1118,,227.659861043696,227,1,5.677264242e-06,209737.9541,5171350.023,209737.954103824,5171350.0229958,317,./0.png
-71.7412787711868,46.6741075577397,15,339,ISO,VD-55,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,209830.543,5171249.6386,50,,,,,,,C-0882,,,V-341,,,,C-1117,,20,2935,C-0882,Actif,N-0138,N-0872,Eau potable,Vanne,Borne d'incendie,,,,4.4623,150,,0,0,,100,0,,,,,,C-1117,,228.502241015367,228,1,3.5918558941e-05,209830.543,5171249.6386,209830.543023799,5171249.6385731,318,./0.png
-71.7226956689513,46.6729089793856,16,893,ISO,VD-210,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,211250.2408,5171094.1731,27.3855,,,,,,,C-1106,,,,,,,C-1435,,21,3235,C-1106,Actif,N-0176,N-1013,Eau potable,Vanne,Borne d'incendie,,,,4.383,150,,0,0,,100,0,,,,,,C-1435,,50.3067815319202,50,1,3.8996053e-07,211250.2408,5171094.1731,211250.240799751,5171094.1731003,140,./0.png
-71.7035586510696,46.6704895821984,17,519,ISO,VD-255,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,212710.3095,5170802.6989,23.0973,,,,,,,C-0482,,,V-524,,,,C-0514,,23,2362,C-0482,Actif,N-0614,N-0272,Eau potable,Vanne,Borne d'incendie,,,,2.7248,150,,0,0,,100,0,,,,,,C-0514,,229.496826982415,229,1,1.8842929631e-05,212710.3095,5170802.6989,212710.309512238,5170802.69888567,319,./0.png
-71.7371147925545,46.6729464246541,18,551,ISO,VD-63,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,210147.0955,5171115.5636,44.8706,,,,,,,C-0227,,,V-556,,,,C-0004,,25,1883,C-0227,Actif,N-0287,N-0305,Eau potable,Vanne,Borne d'incendie,,,,3.4838,150,,0,0,,100,0,,,,,,C-0004,,177.542276186065,177,1,2.4953296428e-05,210147.0955,5171115.5636,210147.09547507,5171115.56359893,267,./0.png
-71.7164900728937,46.6778138303789,19,398,ISO,VD-131,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,211733.4543,5171632.0047,58.5779,,,,,,,C-0579,,,V-401,,,,C-0642,,26,2478,C-0579,Actif,N-0040,N-0674,Eau potable,Vanne,Borne d'incendie,,,,4.3232,150,,0,0,,100,0,,,,,,C-0642,,55.7311945527469,55,1,4.3849861335e-05,211733.4543,5171632.0047,211733.454324691,5171632.00466376,145,./0.png
-71.7428880633555,46.6743197207929,20,589,ISO,VD-57,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,209707.7906,5171275.1628,50,,,,,,,C-0825,,,V-595,,,,C-1029,,27,2849,C-0825,Actif,N-0098,N-0836,Eau potable,Vanne,Borne d'incendie,,,,4.8818,150,,0,0,,100,0,,,,,,C-1029,,47.6874293416365,47,1,4.6388643521e-05,209707.7906,5171275.1628,209707.790568772,5171275.1628343,137,./0.png
-71.7438744934917,46.6750420921894,21,592,ISO,VD-56,Actif,Eau potable,Vanne d'isolement,Boîte de vanne,209633.5888,5171356.6473,50,,,,,,,C-0824,,,V-598,,,,C-1028,,28,2848,C-0824,Actif,N-0097,N-0835,Eau potable,Vanne,Borne d'incendie,,,,4.9511,150,,0,0,,100,0,,,,,,C-1028,,47.6866507622107,47,1,4.934626607e-05,209633.5888,5171356.6473,209633.588766781,5171356.64733649,137,./0.png
