X,Y,fid,OBJECTID,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,NO,F_POINT,ELEV,ELE,ELPBG,DOM,CH1,DIA,A,B,PT,STAMAN,STAPRE,POINT,DESC,PLU,POINT_HEXAG,ECHELLE,VUEPL,EL_,F0_000,CURVENO,RADIUS,LENGTH,DELTA,TANGENT,CHORD,BEARING,X,IDENTIFICATION,S_,TXT1,SS,VALEURX,VALEUR_Y,TEXTE,A1,NIVEAU,Item_Short_Name,Item_Description,Manufacturer,Part_Number,Quantity_Imperial,Unit_Imperial,Quantity_Metric,Unit_Metric,ID_CSI_Masterformat,ID_CSI_Uniformat,ID_CI_SfB,ID_UniClass,ID_User_Defined,NAME,PLUVIAL,SANITIRE,EAU_POTABLE,COD,DSC,INF,F1,F2,icon_url
-71.7369174589012,46.6729555616841,1,1,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-E-EGO-PUI-350-600,179.513922327014,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7369834287261,46.6728881321581,2,2,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-E-EGO-PUI-350-600,3.16485825888928,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7371337944144,46.6729458335865,3,3,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-E-EGO-PUI-350-600,182.417588364399,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7374813319434,46.6720429142918,4,4,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-E-EGO-PUI-350-600,313.614829514008,,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360412532967,46.6729092665803,5,5,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,133.149359387863,PU10,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7356564327994,46.6726289600045,6,6,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,132.464943481191,PU8,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7357331226683,46.6725760089618,7,7,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,132.464943515383,PU9,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7356152945289,46.6722495250336,8,8,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,29.1602092563173,PU6,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7356708572791,46.6723156042571,9,9,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,29.1602092395464,PU7,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360143110244,46.6720906213545,10,10,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,29.2015966539384,PU4,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7360645311625,46.6721587635149,11,11,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,29.1602092506158,PU5,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7362313365007,46.6721304433416,12,12,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,309.992542527176,PU19,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7362548378803,46.6722575636494,13,13,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,312.355335708378,PU20,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
-71.7365626574664,46.6718721255277,14,14,Insert,EGPLUV-PUISARD,3,Continuous,0,25,R-P-EGO-PUI-350-600,29.1602092387735,PU3,,,,0,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,,0,,0,,,,0,0,0,,0,0,,,./0.png
