X,Y,fid,OBJECTID,FutID,BDLum,Modèle,DispoProte,HautFut,Tension,TypeFut,Probleme_d,TextID,Cablage,Fusible,porteFusib,grounding,TypeTete,LongueurPo,GroupePhot,PuissanceU,PuisFinal,icon_url
-71.7322928613641,46.6831634473188,1,1,DON-0005,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E11, ,31 W Type 2,./0.png
-71.7271070251794,46.6733868157272,2,2,DON-0010,Projet de base,ERL1004B330AGRAYILR,Sectionneur,"30", ,MSP, ,NA, , , , ,Cobra,Moyenne potence,E11, ,31 W Type 2,./0.png
-71.7331845393964,46.6768302871691,3,3,DON-0015,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.7328324527951,46.6765478454539,4,4,DON-0020,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.7324645990957,46.6762756055969,5,5,DON-0025,Projet de base,ERL1004B330AGRAYILR,Absence,"30", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.7318573852874,46.6757901976202,6,6,DON-0030,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.7316002518719,46.6755781607579,7,7,DON-0035,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , ,portefusible simple, ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.730731545711,46.6748902099462,8,8,DON-0040,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.7303749847055,46.6746177959652,9,9,DON-0045,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.731119260159,46.6747557999462,10,10,DON-0050,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.7310480476536,46.6754446988631,11,11,DON-0055,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E79, ,31 W Type 2,./0.png
-71.7305828509648,46.6757166484974,12,12,DON-0060,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , ,portefusible simple, ,Cobra,Moyenne potence,E79, ,31 W Type 2,./0.png
-71.7297022494842,46.676291497114,13,13,DON-0065,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E79, ,31 W Type 2,./0.png
-71.7281424898169,46.6764078219922,14,14,DON-0070,Projet de base,ERL1004C330AGRAYILR,PorteFusible,"25", ,MSP, ,NA, , , , ,Cobra,Moyenne potence,E80, ,31 W Type 3,./0.png
-71.7275138157022,46.6760232502453,15,15,DON-0075,Projet de base,ERL1004C330AGRAYILR,Sectionneur,"25", ,MSP, ,NA, , , , ,Cobra,Moyenne potence,E80, ,31 W Type 3,./0.png
-71.7267131094781,46.6757988649534,16,16,DON-0080,Projet de base,ERL1004C330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E80, ,31 W Type 3,./0.png
-71.7256761965713,46.6757224262559,17,17,DON-0085,Projet de base,ERL1004C330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E80, ,31 W Type 3,./0.png
-71.7247094470098,46.6757352021483,18,18,DON-0090,Projet de base,ERL1004C330AGRAYILR,Absence,"25", ,HQ, ,NA, , ,portefusible simple, ,Cobra,Moyenne potence,E80, ,31 W Type 3,./0.png
-71.7240936114698,46.6758740653291,19,19,DON-0095,Projet de base,ERL1004C330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E80, ,31 W Type 3,./0.png
-71.7336138576889,46.6771740496483,20,20,DON-0100,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
-71.7345855072953,46.6769540310549,21,21,DON-0105,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E11, ,31 W Type 2,./0.png
-71.7340512442051,46.6765082687911,22,22,DON-0110,Projet de base,ERL1004B330AGRAYILR,PorteFusible,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E11, ,31 W Type 2,./0.png
-71.7346791912888,46.6738030630887,23,23,DON-0115,Projet de base,ERL1006B330AGRAYILR,PorteFusible,"30", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E21, ,47 W Type 2,./0.png
-71.7323672687111,46.6756935172556,24,24,DON-0120,Projet de base,ERL1004B330AGRAYILR,Absence,"25", ,HQ, ,NA, , , , ,Cobra,Moyenne potence,E14, ,31 W Type 2,./0.png
